,0
728,5.02029430398065e-09
729,5.02029430398065e-09
730,5.02029430398065e-09
731,5.02029430398065e-09
732,5.02029430398065e-09
733,5.02029430398065e-09
734,5.02029430398065e-09
735,5.02029430398065e-09
736,5.02029430398065e-09
737,5.02029430398065e-09
738,5.02029430398065e-09
739,5.02029430398065e-09
740,5.02029430398065e-09
741,5.02029430398065e-09
742,5.02029430398065e-09
743,5.02029430398065e-09
744,5.02029430398065e-09
745,5.02029430398065e-09
746,5.02029430398065e-09
747,5.02029430398065e-09
748,5.02029430398065e-09
749,5.02029430398065e-09
750,5.02029430398065e-09
751,5.02029430398065e-09
752,5.02029430398065e-09
753,5.02029430398065e-09
754,5.02029430398065e-09
755,5.02029430398065e-09
756,5.02029430398065e-09
757,5.02029430398065e-09
758,5.02029430398065e-09
759,5.02029430398065e-09
760,5.02029430398065e-09
761,5.02029430398065e-09
762,5.02029430398065e-09
763,5.02029430398065e-09
764,5.02029430398065e-09
765,5.02029430398065e-09
766,5.02029430398065e-09
767,5.02029430398065e-09
768,5.02029430398065e-09
769,5.02029430398065e-09
770,5.02029430398065e-09
771,5.02029430398065e-09
772,5.02029430398065e-09
773,5.02029430398065e-09
774,5.02029430398065e-09
775,5.02029430398065e-09
776,5.02029430398065e-09
777,5.02029430398065e-09
778,5.02029430398065e-09
779,5.02029430398065e-09
780,5.02029430398065e-09
781,5.02029430398065e-09
782,5.02029430398065e-09
783,5.02029430398065e-09
784,5.02029430398065e-09
785,5.02029430398065e-09
786,5.02029430398065e-09
787,5.02029430398065e-09
788,5.02029430398065e-09
789,5.02029430398065e-09
790,5.02029430398065e-09
791,5.02029430398065e-09
792,5.02029430398065e-09
793,5.02029430398065e-09
794,5.02029430398065e-09
795,5.02029430398065e-09
796,5.02029430398065e-09
797,5.02029430398065e-09
798,5.02029430398065e-09
799,5.02029430398065e-09
800,5.02029430398065e-09
801,5.02029430398065e-09
802,5.02029430398065e-09
803,5.02029430398065e-09
804,5.02029430398065e-09
805,5.02029430398065e-09
806,5.02029430398065e-09
807,5.02029430398065e-09
808,5.02029430398065e-09
809,5.02029430398065e-09
810,5.02029430398065e-09
811,5.02029430398065e-09
812,1.8780920991191734e-05
813,5.02029430398065e-09
814,5.02029430398065e-09
815,5.02029430398065e-09
816,5.02029430398065e-09
817,5.02029430398065e-09
818,5.02029430398065e-09
819,5.02029430398065e-09
820,5.02029430398065e-09
821,5.02029430398065e-09
822,5.02029430398065e-09
823,5.02029430398065e-09
824,5.02029430398065e-09
825,5.02029430398065e-09
826,5.02029430398065e-09
827,5.02029430398065e-09
828,5.02029430398065e-09
829,5.02029430398065e-09
830,5.02029430398065e-09
831,5.02029430398065e-09
832,5.02029430398065e-09
833,5.02029430398065e-09
834,5.02029430398065e-09
835,5.02029430398065e-09
836,5.02029430398065e-09
837,5.02029430398065e-09
838,5.02029430398065e-09
839,5.02029430398065e-09
840,5.02029430398065e-09
841,5.02029430398065e-09
842,5.02029430398065e-09
843,5.02029430398065e-09
844,5.02029430398065e-09
845,5.02029430398065e-09
846,5.02029430398065e-09
847,5.02029430398065e-09
848,5.02029430398065e-09
849,5.02029430398065e-09
850,5.02029430398065e-09
851,5.02029430398065e-09
852,5.02029430398065e-09
853,5.02029430398065e-09
854,5.02029430398065e-09
855,5.02029430398065e-09
856,5.02029430398065e-09
857,5.02029430398065e-09
858,5.02029430398065e-09
859,5.02029430398065e-09
860,5.02029430398065e-09
861,5.02029430398065e-09
862,5.02029430398065e-09
863,5.02029430398065e-09
864,5.02029430398065e-09
865,5.02029430398065e-09
